step,train_loss,val_loss,lr
0,10.6782,10.6777,8.33e-07
100,7.6942,7.6923,8.42e-05
200,6.635,6.6255,0.000168
300,6.2342,6.2468,0.00025
400,5.9837,5.9796,0.00025
500,5.7985,5.808,0.00025
600,5.663,5.6596,0.000249
700,5.5519,5.563,0.000248
800,5.4649,5.4668,0.000247
900,5.3892,5.3887,0.000246
1000,5.3205,5.3256,0.000244
1100,5.2579,5.255,0.000242
1200,5.2047,5.206,0.00024
1300,5.156,5.1522,0.000238
1400,5.0886,5.091,0.000235
1500,5.0654,5.0563,0.000233
1600,5.0228,5.0196,0.00023
1700,4.9836,4.9805,0.000227
1800,4.9511,4.9473,0.000223
1900,4.9126,4.9219,0.00022
2000,4.8869,4.8913,0.000216
2100,4.8621,4.8686,0.000212
2200,4.8301,4.8355,0.000208
2300,4.8141,4.8177,0.000204
2400,4.7896,4.7717,0.0002
2500,4.7648,4.7624,0.000195
2600,4.7468,4.7503,0.000191
2700,4.7222,4.7272,0.000186
2800,4.6947,4.6957,0.000181
2900,4.6735,4.677,0.000176
3000,4.6719,4.6668,0.000171
3100,4.6486,4.6451,0.000166
3200,4.6157,4.6375,0.000161
3300,4.6068,4.6145,0.000156
3400,4.5965,4.6115,0.000151
3500,4.5826,4.592,0.000145
3600,4.5614,4.5819,0.00014
4100,4.5035,4.5125,0.000114
4200,4.4995,4.5052,0.000109
4300,4.4894,4.4906,0.000104
4600,4.4447,4.4682,8.9e-05
4700,4.4625,4.4535,8.43e-05
4800,4.4431,4.4568,7.97e-05
4900,4.4373,4.4441,7.53e-05
5000,4.422,4.4335,7.09e-05
5100,4.4295,4.4238,6.68e-05
5200,4.4184,4.4201,6.27e-05
5400,4.4019,4.4004,5.52e-05
5500,4.391,4.4018,5.17e-05
5600,4.3896,4.4032,4.84e-05
5700,4.3894,4.3815,4.53e-05
5800,4.3932,4.3761,4.23e-05
5900,4.3728,4.3704,3.96e-05
6000,4.3676,4.3805,3.71e-05
6100,4.3622,4.3796,3.49e-05
6200,4.3755,4.366,3.28e-05
6300,4.362,4.3676,3.1e-05
6400,4.3612,4.3668,2.94e-05
6500,4.3511,4.3653,2.81e-05
6600,4.3599,4.3589,2.7e-05
6700,4.3486,4.3588,2.61e-05
6800,4.3473,4.3477,2.55e-05
6900,4.3541,4.3497,2.51e-05
7000,4.3481,4.3465,5.71e-05
7100,4.3531,4.3465,5.48e-05
7200,4.3477,4.3561,5.26e-05
7300,4.3483,4.3487,5.05e-05
7400,4.3425,4.3435,4.84e-05
7500,4.3479,4.3378,4.64e-05
7600,4.3354,4.3275,4.44e-05
7700,4.3263,4.3381,4.25e-05
7800,4.3227,4.3313,4.07e-05
7900,4.3268,4.316,3.89e-05
8000,4.3173,4.3181,3.72e-05
8100,4.3143,4.3205,3.56e-05
8200,4.3179,4.31,3.4e-05
8300,4.3047,4.3097,3.25e-05
8400,4.3033,4.3188,3.11e-05
8500,4.303,4.3103,2.98e-05
8600,4.3098,4.3158,2.86e-05
8700,4.3023,4.3,2.74e-05
8800,4.3052,4.3048,2.63e-05
8900,4.2948,4.3004,2.53e-05
9000,4.2907,4.3006,2.44e-05
9100,4.2912,4.2871,2.36e-05
9200,4.2976,4.3058,2.28e-05
9300,4.288,4.2924,2.22e-05
9400,4.2924,4.2892,2.16e-05
9500,4.2832,4.2919,2.11e-05
9600,4.2877,4.2921,2.07e-05
9700,4.2863,4.273,2.04e-05
9800,4.2824,4.2874,2.02e-05
9900,4.2917,4.2765,2e-05
10000,4.2841,4.2857,4.26e-05
10100,4.2813,4.3024,4.12e-05
10200,4.2948,4.3034,3.98e-05
10300,4.2884,4.3011,3.85e-05
10400,4.2821,4.2976,3.72e-05
10500,4.2842,4.2906,3.59e-05
10600,4.284,4.279,3.47e-05
10700,4.2646,4.2814,3.35e-05
10800,4.2768,4.2864,3.24e-05
10900,4.2706,4.2847,3.13e-05
11000,4.2746,4.2625,3.03e-05
11100,4.272,4.2654,2.93e-05
11200,4.2647,4.2684,2.84e-05
11300,4.2635,4.2643,2.75e-05
11400,4.2677,4.2647,2.66e-05
11500,4.2606,4.2645,2.58e-05
11600,4.2687,4.2557,2.51e-05
11700,4.2597,4.2725,2.44e-05
11800,4.2587,4.2525,2.38e-05
11900,4.2635,4.2553,2.32e-05
12000,4.246,4.2641,2.26e-05
12100,4.2592,4.2598,2.21e-05
12200,4.2474,4.2551,2.17e-05
12300,4.261,4.2546,2.13e-05
12400,4.2506,4.2548,2.09e-05
12500,4.2529,4.2441,2.07e-05
12600,4.2499,4.2522,2.04e-05
12700,4.2297,4.2447,2.02e-05
12800,4.2415,4.2356,2.01e-05
12900,4.2384,4.2395,2e-05
